*************************************************************************************************************************************
|      ITER |        MB |        LE |        VM |       BVM |        IF |        IB |       MAW |       MAB |        LR |        ET | Fri Feb 16 19:59:44 2024 
-------------------------------------------------------------------------------------------------------------------------------------
|         1 |        37 |  9.29E-01 |  0.936583 |  0.936583 |      8.00 |      7.00 |  0.052460 |  0.202519 |  1.00E-02 |      0.12 | 
|         1 |        74 |  9.33E-01 |  0.937722 |  0.937722 |      8.00 |      7.00 |  0.059561 |  0.251144 |  1.00E-02 |      0.37 | 
|         1 |       111 |  9.08E-01 |  0.938346 |  0.938346 |      8.00 |      7.00 |  0.235395 |  0.294160 |  1.00E-02 |      0.62 | 
|         1 |       148 |  8.10E-01 |  0.950218 |  0.950218 |      8.00 |      7.00 |  0.275846 |  0.194105 |  9.99E-03 |      0.86 | 
|         1 |       185 |  7.48E-01 |  0.943500 |  0.950218 |      8.00 |      7.00 |  0.477835 |  0.588676 |  9.99E-03 |      1.11 | 
|         1 |       222 |  6.98E-01 |  0.924871 |  0.950218 |      8.00 |      7.00 |  0.383847 |  0.199929 |  9.98E-03 |      1.36 | 
|         1 |       259 |  6.52E-01 |  0.945767 |  0.950218 |      8.00 |      7.00 |  0.349434 |  0.298514 |  9.98E-03 |      1.61 | 
|         1 |       296 |  6.16E-01 |  0.942206 |  0.950218 |      8.00 |      7.00 |  0.273623 |  0.334578 |  9.97E-03 |      1.86 | 
|         1 |       333 |  5.75E-01 |  0.935868 |  0.950218 |      8.00 |      7.00 |  0.370244 |  0.311452 |  9.96E-03 |      2.11 | 
|         1 |       370 |  5.39E-01 |  0.934435 |  0.950218 |      8.00 |      7.00 |  0.253898 |  0.327983 |  9.95E-03 |      2.35 | 
|         1 |       407 |  5.07E-01 |  0.931454 |  0.950218 |      8.00 |      7.00 |  1.091224 |  0.352548 |  9.94E-03 |      2.60 | 
|         2 |        37 |  1.57E-01 |  0.930979 |  0.950218 |      8.00 |      7.00 |  0.146670 |  0.171699 |  9.93E-03 |      2.72 | 
|         2 |        74 |  1.62E-01 |  0.894934 |  0.950218 |      8.00 |      7.00 |  0.579817 |  0.413970 |  9.92E-03 |      2.97 | 
|         2 |       111 |  1.64E-01 |  0.915703 |  0.950218 |      8.00 |      7.00 |  0.419348 |  0.120845 |  9.91E-03 |      3.22 | 
|         2 |       148 |  1.63E-01 |  0.931073 |  0.950218 |      8.00 |      7.00 |  0.752890 |  0.406640 |  9.90E-03 |      3.47 | 
|         2 |       185 |  1.66E-01 |  0.900816 |  0.950218 |      8.00 |      7.00 |  0.204685 |  0.086406 |  9.88E-03 |      3.72 | 
|         2 |       222 |  1.62E-01 |  0.918187 |  0.950218 |      8.00 |      7.00 |  1.141933 |  0.534837 |  9.87E-03 |      3.98 | 
|         2 |       259 |  1.59E-01 |  0.901299 |  0.950218 |      8.00 |      7.00 |  0.353945 |  0.203320 |  9.85E-03 |      4.23 | 
|         2 |       296 |  1.57E-01 |  0.923556 |  0.950218 |      8.00 |      7.00 |  0.243331 |  0.144579 |  9.84E-03 |      4.48 | 
|         2 |       333 |  1.57E-01 |  0.902936 |  0.950218 |      8.00 |      7.00 |  0.124444 |  0.092438 |  9.82E-03 |      4.74 | 
|         2 |       370 |  1.55E-01 |  0.903948 |  0.950218 |      8.00 |      7.00 |  0.204309 |  0.149697 |  9.80E-03 |      4.99 | 
|         2 |       407 |  1.52E-01 |  0.892023 |  0.950218 |      8.00 |      7.00 |  0.172421 |  0.207116 |  9.78E-03 |      5.25 | 
|         3 |        37 |  1.26E-01 |  0.908077 |  0.950218 |      8.00 |      7.00 |  0.223446 |  0.205982 |  9.76E-03 |      5.37 | 
|         3 |        74 |  1.24E-01 |  0.885650 |  0.950218 |      8.00 |      7.00 |  0.184948 |  0.121631 |  9.74E-03 |      5.63 | 
|         3 |       111 |  1.22E-01 |  0.842599 |  0.950218 |      8.00 |      7.00 |  0.220735 |  0.077586 |  9.72E-03 |      5.88 | 
|         3 |       148 |  1.21E-01 |  0.883467 |  0.950218 |      8.00 |      7.00 |  0.330988 |  0.095625 |  9.69E-03 |      6.14 | 
|         3 |       185 |  1.21E-01 |  0.851258 |  0.950218 |      8.00 |      7.00 |  0.383193 |  0.205356 |  9.67E-03 |      6.40 | 
|         3 |       222 |  1.20E-01 |  0.891073 |  0.950218 |      8.00 |      7.00 |  0.160373 |  0.138868 |  9.65E-03 |      6.65 | 
|         3 |       259 |  1.21E-01 |  0.864801 |  0.950218 |      8.00 |      7.00 |  0.144698 |  0.087813 |  9.62E-03 |      6.91 | 
|         3 |       296 |  1.21E-01 |  0.911621 |  0.950218 |      8.00 |      7.00 |  0.477186 |  0.136678 |  9.59E-03 |      7.17 | 
|         3 |       333 |  1.20E-01 |  0.854358 |  0.950218 |      8.00 |      7.00 |  0.235009 |  0.226191 |  9.57E-03 |      7.42 | 
|         3 |       370 |  1.20E-01 |  0.873685 |  0.950218 |      8.00 |      7.00 |  0.233061 |  0.113674 |  9.54E-03 |      7.68 | 
|         3 |       407 |  1.19E-01 |  0.898563 |  0.950218 |      8.00 |      7.00 |  0.115415 |  0.062098 |  9.51E-03 |      7.93 | 
|         4 |        37 |  1.21E-01 |  0.924488 |  0.950218 |      8.00 |      7.00 |  0.217833 |  0.168016 |  9.48E-03 |      8.05 | 
|         4 |        74 |  1.37E-01 |  0.904300 |  0.950218 |      8.00 |      7.00 |  0.256392 |  0.211179 |  9.45E-03 |      8.30 | 
|         4 |       111 |  1.28E-01 |  0.897492 |  0.950218 |      8.00 |      7.00 |  0.178309 |  0.127155 |  9.42E-03 |      8.56 | 
|         4 |       148 |  1.24E-01 |  0.912505 |  0.950218 |      8.00 |      7.00 |  0.165573 |  0.080776 |  9.39E-03 |      8.81 | 
